"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022/2023","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","5637","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","5862","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v1073542373","3.2","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v1073542373","3.2","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v1073542373","3.2","","..","","","0"
"2021/2022","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v1073542373","3.2","","..","","","0"
"2022/2023","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v1073542373","3.2","","..","","","0"
"2023/2024","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v1073542373","3.2","","..","","","0"
"2006/2007","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","2693","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","2423","","","","0"
"2008/2009","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","2473","","","","0"
"2009/2010","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","","..","","","0"
"2010/2011","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","","..","","","0"
"2011/2012","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","","..","","","0"
"2012/2013","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","","..","","","0"
"2013/2014","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","","..","","","0"
"2014/2015","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","","..","","","0"
"2015/2016","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","","..","","","0"
"2016/2017","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","","..","","","0"
"2017/2018","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","","..","","","0"
"2018/2019","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","","..","","","0"
